رقم الصفحة,المبلغ المتبقي (ريال),الرابط
1,"79,473.00",https://ehsan.sa/forijat?p=1
1,"87,123.00",https://ehsan.sa/forijat?p=1
1,"107,399.00",https://ehsan.sa/forijat?p=1
1,"132,383.00",https://ehsan.sa/forijat?p=1
1,"141,163.00",https://ehsan.sa/forijat?p=1
1,"150,159.00",https://ehsan.sa/forijat?p=1
1,"153,886.00",https://ehsan.sa/forijat?p=1
1,"154,457.00",https://ehsan.sa/forijat?p=1
1,"166,406.00",https://ehsan.sa/forijat?p=1
2,"167,222.00",https://ehsan.sa/forijat?p=2
2,"168,866.00",https://ehsan.sa/forijat?p=2
2,"169,837.00",https://ehsan.sa/forijat?p=2
2,"171,407.00",https://ehsan.sa/forijat?p=2
2,"173,004.00",https://ehsan.sa/forijat?p=2
2,"78,047.00",https://ehsan.sa/forijat?p=2
2,"95,746.00",https://ehsan.sa/forijat?p=2
2,"174,351.00",https://ehsan.sa/forijat?p=2
2,"88,566.00",https://ehsan.sa/forijat?p=2
3,"86,484.00",https://ehsan.sa/forijat?p=3
3,"82,608.00",https://ehsan.sa/forijat?p=3
3,"97,667.00",https://ehsan.sa/forijat?p=3
3,"57,137.00",https://ehsan.sa/forijat?p=3
3,"123,322.00",https://ehsan.sa/forijat?p=3
3,"185,100.00",https://ehsan.sa/forijat?p=3
3,"193,085.00",https://ehsan.sa/forijat?p=3
3,"198,218.00",https://ehsan.sa/forijat?p=3
3,"198,771.00",https://ehsan.sa/forijat?p=3
4,"199,083.00",https://ehsan.sa/forijat?p=4
4,"213,610.00",https://ehsan.sa/forijat?p=4
4,"213,919.00",https://ehsan.sa/forijat?p=4
4,"221,010.00",https://ehsan.sa/forijat?p=4
4,"227,392.00",https://ehsan.sa/forijat?p=4
4,"228,276.00",https://ehsan.sa/forijat?p=4
4,"232,340.00",https://ehsan.sa/forijat?p=4
4,"232,620.00",https://ehsan.sa/forijat?p=4
4,"232,982.00",https://ehsan.sa/forijat?p=4
5,"233,042.00",https://ehsan.sa/forijat?p=5
5,"127,253.00",https://ehsan.sa/forijat?p=5
5,"109,845.00",https://ehsan.sa/forijat?p=5
5,"237,509.00",https://ehsan.sa/forijat?p=5
5,"237,800.00",https://ehsan.sa/forijat?p=5
5,"76,805.00",https://ehsan.sa/forijat?p=5
5,"162,033.00",https://ehsan.sa/forijat?p=5
5,"244,976.00",https://ehsan.sa/forijat?p=5
5,"245,341.00",https://ehsan.sa/forijat?p=5
6,"112,380.00",https://ehsan.sa/forijat?p=6
6,"140,707.00",https://ehsan.sa/forijat?p=6
6,"255,300.00",https://ehsan.sa/forijat?p=6
6,"81,008.00",https://ehsan.sa/forijat?p=6
6,"176,806.00",https://ehsan.sa/forijat?p=6
6,"25,603.00",https://ehsan.sa/forijat?p=6
6,"90,302.00",https://ehsan.sa/forijat?p=6
6,"149,114.00",https://ehsan.sa/forijat?p=6
6,"266,080.00",https://ehsan.sa/forijat?p=6
7,"142,081.00",https://ehsan.sa/forijat?p=7
7,"124,652.00",https://ehsan.sa/forijat?p=7
7,"108,667.00",https://ehsan.sa/forijat?p=7
7,"62,008.00",https://ehsan.sa/forijat?p=7
7,"108,373.00",https://ehsan.sa/forijat?p=7
7,"64,353.00",https://ehsan.sa/forijat?p=7
7,"59,241.00",https://ehsan.sa/forijat?p=7
7,"72,791.00",https://ehsan.sa/forijat?p=7
7,"84,456.00",https://ehsan.sa/forijat?p=7
8,"281,014.00",https://ehsan.sa/forijat?p=8
8,"42,398.00",https://ehsan.sa/forijat?p=8
8,"244,231.00",https://ehsan.sa/forijat?p=8
8,"146,769.00",https://ehsan.sa/forijat?p=8
8,"139,891.00",https://ehsan.sa/forijat?p=8
8,"288,089.00",https://ehsan.sa/forijat?p=8
8,"288,774.00",https://ehsan.sa/forijat?p=8
8,"289,873.00",https://ehsan.sa/forijat?p=8
8,"290,197.00",https://ehsan.sa/forijat?p=8
9,"52,411.00",https://ehsan.sa/forijat?p=9
9,"164,204.00",https://ehsan.sa/forijat?p=9
9,"79,836.00",https://ehsan.sa/forijat?p=9
9,"58,576.00",https://ehsan.sa/forijat?p=9
9,"74,550.00",https://ehsan.sa/forijat?p=9
9,"169,790.00",https://ehsan.sa/forijat?p=9
9,"157,172.00",https://ehsan.sa/forijat?p=9
9,"148,387.00",https://ehsan.sa/forijat?p=9
9,"308,625.00",https://ehsan.sa/forijat?p=9
10,"311,368.00",https://ehsan.sa/forijat?p=10
10,"120,675.00",https://ehsan.sa/forijat?p=10
10,"191,795.00",https://ehsan.sa/forijat?p=10
10,"314,429.00",https://ehsan.sa/forijat?p=10
10,"91,758.00",https://ehsan.sa/forijat?p=10
10,"225,765.00",https://ehsan.sa/forijat?p=10
10,"47,494.00",https://ehsan.sa/forijat?p=10
10,"116,590.00",https://ehsan.sa/forijat?p=10
10,"154,490.00",https://ehsan.sa/forijat?p=10

الإجمالي,"14,280,796.00",
عدد الحالات,90,
